Estimate,Std. Error,t value,Pr(>|t|),Term
11.449106654538593,2.4295842157304364,4.712372833347744,2.5308885900301752e-6,(Intercept)
-0.0015630501636847967,0.004399444434610866,-0.3552835333907449,0.7223957373477163,AcuteLoad
0.020706242585031707,0.006215072406763666,3.331617273275491,0.00087118874199683925,ChronicLoad
4.619680858528815,1.0229931325085184,4.515847381302286,6.486270673914486e-6,AcuteChronicRatio
6.907748860620188,1.9365713575123746,3.5669993949995966,3.652804445638009e-4,GameDay
-13.330141908917282,2.1167484131838563,-6.297461628360013,3.3488988204422143e-10,factor(PlayerID)2
74.34710255099189,2.01842943890153,36.83413505475479,2.4030360993917566e-256,factor(PlayerID)3
68.42369738814455,2.3837474345728045,28.70425633007839,4.559766287910332e-165,factor(PlayerID)4
46.2645010167874,2.6771983829600714,17.28093865260541,1.3070594097238633e-64,factor(PlayerID)5
46.70098719448245,2.3012781585931514,20.293499514648996,2.8694163165375e-87,factor(PlayerID)6
69.62999809176648,2.039350117145686,34.143229015144286,1.0367266031242779e-224,factor(PlayerID)7
31.82726527112964,2.132572704023656,14.92435179868859,4.5436219853783926e-49,factor(PlayerID)8
53.87612428082265,2.2678075671976368,23.756920587137017,6.858372708528579e-117,factor(PlayerID)9
53.704568175990616,2.1301839955766266,25.21123446965582,2.23402213919686e-130,factor(PlayerID)10
72.2260471976864,2.049402163938667,35.24249582077046,1.7568618781339924e-237,factor(PlayerID)11
52.42668072553547,2.43484803894964,21.531808099265042,1.9381062241356122e-97,factor(PlayerID)12
76.06001134531317,2.0149948068188803,37.7470011773335,2.370593450134916e-267,factor(PlayerID)13
63.11700604137376,2.4655297151247493,25.599775031784684,4.436090184256399e-134,factor(PlayerID)14
54.26732826448688,2.8894999287859853,18.780871985446677,1.6351800425222574e-75,factor(PlayerID)15
33.791040982221546,2.025794706649477,16.680387638147977,1.8375602975360714e-60,factor(PlayerID)16
66.05855612773037,2.428966994227759,27.19615222632218,1.0401950174956767e-149,factor(PlayerID)17
