Model,R_Squared,Adjusted_R_Squared,Residual_SE,N
Fatigue,0.348128518847153,0.3449014323067924,0.8289600370760579,4061
MonitoringScore,0.3703869269113001,0.36727003050987084,2.898154158238116,4061
TrainingReadiness,0.5423226477123073,0.5400569182455366,24.62437564625409,4061
